Genotype,Treatment,Assay,Tissue,Sample.,Resident,Live,Mac,mDC,Mono,Neutro,Eos
WT,PBS,P1A4,Lung,Lung-15_dc_001_013.fcs,90.3,80.3,17.8,27.1,2.33,3.65,0
WT,PBS,P1A4,Lung,Lung-15_dc_002_014.fcs,92,84.4,15.3,26.3,1.27,4.72,0.00179
WT,PBS,P1A4,Lung,Lung-15_dc_003_015.fcs,90.3,80.7,6.43,5.71,3.57,2.76,0
WT,PBS,P1A4,Lung,Lung-15_dc_004_016.fcs,94.2,87.3,11.6,20.1,4.63,4.4,0.00615
WT,PBS,P1A4,Lung,Lung-15_dc_005_017.fcs,95.1,89.2,20.1,27.3,2.46,1.66,0.00435
WT,CRA,P1A4,Lung,Lung-15_dc_006_018.fcs,85.2,75.9,9.15,41.6,8.15,73.4,5.02
WT,CRA,P1A4,Lung,Lung-15_dc_007_019.fcs,87.4,79,20.3,43.9,4.32,1.7,0.29
WT,CRA,P1A4,Lung,Lung-15_dc_008_020.fcs,88.1,75.8,19.1,59,10.9,53.1,5.45
WT,CRA,P1A4,Lung,Lung-15_dc_009_021.fcs,77.7,50.7,17.8,56.1,16.4,51.6,18
WT,CRA,P1A4,Lung,Lung-15_dc_010_022.fcs,79.7,57.3,31.4,58.7,7.75,23.6,3.4
WT,DiHOME,P1A4,Lung,Lung-15_dc_011_023.fcs,85.1,69.8,15.8,58.4,18.8,72.3,14.2
WT,DiHOME,P1A4,Lung,Lung-15_dc_012_024.fcs,89.1,77.8,34.4,60.2,3.03,3.05,1.4
WT,DiHOME,P1A4,Lung,Lung-15_dc_013_025.fcs,90.4,80.4,18.6,52.8,13.6,65.5,2.67
WT,DiHOME,P1A4,Lung,Lung-15_dc_014_026.fcs,89,76.2,18.2,57,16.6,68,9.54
WT,DiHOME,P1A4,Lung,Lung-15_dc_015_027.fcs,86.3,73.2,27.6,61.6,14.8,62.4,6.35
WT,PBS,P1A5,Lung,LungSamples_LungDC_001_011.fcs,90.9,80,25.5,34.7,5.1,4.72,0.044
WT,PBS,P1A5,Lung,LungSamples_LungDC_002_012.fcs,92,80.8,31.9,47.1,6.81,3.94,0.035
WT,PBS,P1A5,Lung,LungSamples_LungDC_003_013.fcs,91.5,67.2,26.2,30.5,7.49,5,0.073
WT,PBS,P1A5,Lung,LungSamples_LungDC_004_014.fcs,94.6,70.4,44.9,41.6,8.99,2.15,0.016
WT,PBS,P1A5,Lung,LungSamples_LungDC_005_015.fcs,91.2,60.3,43.8,45.4,5.38,5.04,0.14
WT,CRA,P1A5,Lung,LungSamples_LungDC_006_016.fcs,93.6,72.1,16.7,18.1,7.18,32.9,8.77
WT,CRA,P1A5,Lung,LungSamples_LungDC_007_017.fcs,94.5,73.8,19.2,24.1,6.7,20.1,6.57
WT,CRA,P1A5,Lung,LungSamples_LungDC_008_018.fcs,91.8,77.6,13.8,17.7,13,47.6,18
WT,CRA,P1A5,Lung,LungSamples_LungDC_009_019.fcs,93,72.7,18.1,22.6,15.6,51.4,23.5
WT,CRA,P1A5,Lung,LungSamples_LungDC_010_020.fcs,91.3,72.5,22.9,20.3,18.3,33.4,18.8
WT,DiHOME,P1A5,Lung,LungSamples_LungDC_012_022.fcs,91.3,81.8,16.9,15.8,13.9,45.7,17.4
WT,DiHOME,P1A5,Lung,LungSamples_LungDC_013_023.fcs,86.7,75.2,20.5,13.4,12.5,43.6,4.51
WT,DiHOME,P1A5,Lung,LungSamples_LungDC_014_024.fcs,88.6,72.8,24.6,18.5,18.3,48.1,9.78
