Genotype,Treatment,Assay,Tissue,Sample.,Treg,TregCount
WT,CRA,P1A3,Lung,Lung_dc_001_035.fcs,4.98,64
WT,CRA,P1A3,Lung,Lung_dc_002_036.fcs,4.11,47
WT,CRA,P1A3,Lung,Lung_dc_003_037.fcs,0.59,4
WT,CRA,P1A3,Lung,Lung_dc_004_038.fcs,4.75,63
WT,CRA,P1A3,Lung,Lung_dc_005_039.fcs,7.28,66
WT,DiHOME,P1A3,Lung,Lung_dc_006_040.fcs,2.23,25
WT,DiHOME,P1A3,Lung,Lung_dc_007_041.fcs,2.72,18
WT,DiHOME,P1A3,Lung,Lung_dc_008_042.fcs,3.97,27
WT,DiHOME,P1A3,Lung,Lung_dc_009_043.fcs,4.72,28
WT,DiHOME,P1A3,Lung,Lung_dc_010_044.fcs,2.55,27
WT,CRA,P1A2,Lung,pma_Lung_Lung_001_030.fcs,1.12,100
WT,CRA,P1A2,Lung,pma_Lung_Lung_002_031.fcs,1.33,76
WT,CRA,P1A2,Lung,pma_Lung_Lung_003_032.fcs,1.44,138
WT,DiHOME,P1A2,Lung,pma_Lung_Lung_004_033.fcs,1.46,103
WT,DiHOME,P1A2,Lung,pma_Lung_Lung_005_034.fcs,0.71,24
WT,DiHOME,P1A2,Lung,pma_Lung_Lung_006_035.fcs,0.83,51
WT,DiHOME,P1A2,Lung,pma_Lung_Lung_007_036.fcs,0.34,14
WT,PBS,P1A4,Lung,Lung-15_dc_001_015.fcs,4.29,21
WT,PBS,P1A4,Lung,Lung-15_dc_002_016.fcs,6.34,22
WT,PBS,P1A4,Lung,Lung-15_dc_003_017.fcs,4.31,147
WT,PBS,P1A4,Lung,Lung-15_dc_004_018.fcs,2.31,8
WT,PBS,P1A4,Lung,Lung-15_dc_005_019.fcs,2.37,5
WT,CRA,P1A4,Lung,Lung-15_dc_006_020.fcs,7.72,129
WT,CRA,P1A4,Lung,Lung-15_dc_007_021.fcs,4.55,58
WT,CRA,P1A4,Lung,Lung-15_dc_008_022.fcs,5.76,33
WT,CRA,P1A4,Lung,Lung-15_dc_009_023.fcs,6.26,28
WT,CRA,P1A4,Lung,Lung-15_dc_010_024.fcs,7.14,25
WT,DiHOME,P1A4,Lung,Lung-15_dc_011_025.fcs,4.91,26
WT,DiHOME,P1A4,Lung,Lung-15_dc_012_026.fcs,2.15,5
WT,DiHOME,P1A4,Lung,Lung-15_dc_013_027.fcs,3.28,6
WT,DiHOME,P1A4,Lung,Lung-15_dc_014_028.fcs,5.13,14
WT,DiHOME,P1A4,Lung,Lung-15_dc_015_029.fcs,5.02,16
WT,PBS,P1A5,Lung,WT_Mouse_DC_LungT_001_013.fcs,5.46,1132
WT,PBS,P1A5,Lung,WT_Mouse_DC_LungT_002_014.fcs,4.89,397
WT,PBS,P1A5,Lung,WT_Mouse_DC_LungT_003_015.fcs,3.15,206
WT,PBS,P1A5,Lung,WT_Mouse_DC_LungT_004_016.fcs,4.82,220
WT,PBS,P1A5,Lung,WT_Mouse_DC_LungT_005_017.fcs,3.83,174
WT,CRA,P1A5,Lung,WT_Mouse_DC_LungT_006_018.fcs,6.8,958
WT,CRA,P1A5,Lung,WT_Mouse_DC_LungT_007_019.fcs,8.77,1845
WT,CRA,P1A5,Lung,WT_Mouse_DC_LungT_008_020.fcs,7.58,1419
WT,CRA,P1A5,Lung,WT_Mouse_DC_LungT_009_021.fcs,5.63,968
WT,CRA,P1A5,Lung,WT_Mouse_DC_LungT_010_022.fcs,6.8,540
WT,DiHOME,P1A5,Lung,WT_Mouse_DC_LungT_011_023.fcs,4.93,757
WT,DiHOME,P1A5,Lung,WT_Mouse_DC_LungT_012_024.fcs,6.7,1255
WT,DiHOME,P1A5,Lung,WT_Mouse_DC_LungT_013_025.fcs,6.22,1250
WT,DiHOME,P1A5,Lung,WT_Mouse_DC_LungT_014_026.fcs,5.12,776
